episodes,scores,avg_scores
783,-319,-581.8591791723529
784,-246,-501.7875624608075
785,-237,-500.6575624608075
786,-70,-497.7175624608075
787,-473,-499.27756246080753
788,-157,-496.95756246080754
789,-229,-496.38756246080754
790,-590,-499.75756246080755
791,-5,-497.3675624608075
792,-391,-489.6075624608075
793,-619,-495.70704580708247
794,-236,-497.14704580708246
795,-565,-501.20704580708247
796,-488,-504.91704580708245
797,-279,-499.08704580708246
798,-7915.768253443483,-543.2447283415173
799,-2621,-568.2247283415173
800,-269,-566.3147283415174
801,-570,-562.7447283415173
802,-673.5095055723594,-568.5098233972409
803,-62,-568.4598233972409
804,-58,-563.579823397241
805,-713,-563.7598233972409
806,-426,-562.9825642776943
807,-617,-568.2225642776943
808,-170.9907985642141,-571.2824722633364
809,-450,-575.1324722633365
810,-54,-571.2824722633364
811,-545,-575.5124722633365
812,-561,-577.0624722633365
813,-5696.740558976624,-630.7898778531027
814,-1556.3658529064655,-613.9635363821675
815,-1607.7401131798017,-620.7944952487721
816,-453,-623.7444952487722
817,-109,-621.0744952487721
818,-1608.787875497797,-634.79237400375
819,-370,-638.46237400375
820,-1849,-653.7323740037501
821,-4,-646.29237400375
822,-173,-645.5223740037501
823,-693,-649.8923740037501
824,-292,-648.4023740037501
825,-2462.16500358364,-673.4940240395864
826,-366,-673.2540240395864
827,-404,-667.8544534414484
828,-80,-668.8044534414485
829,-189,-670.1944534414484
830,-278,-665.8032166640369
831,-8,-664.4032166640368
832,-399,-665.5732166640367
833,-28,-661.9232166640369
834,-876,-666.7632166640369
835,-179,-664.7332166640367
836,-441,-668.7932166640368
837,-358,-670.4532166640369
838,-3500,-705.4432166640369
839,-298,-705.4632166640367
840,-422,-708.9732166640367
841,-48,-706.4232166640369
842,-782.9438312895578,-713.8626549769323
843,-250,-716.2326549769323
844,-390,-717.4726549769323
845,0,-717.8326549769324
846,-356,-715.8926549769324
847,-6173.905687106006,-773.5217118479924
848,-248,-775.3917118479924
849,-504,-778.3717118479924
850,-1140,-789.7917118479924
851,-62,-784.3517118479924
852,-389,-787.2017118479926
853,-123,-784.7817118479924
854,-250,-787.1293205213528
855,-464,-785.9493205213528
856,-73,-779.2593205213528
857,-171,-778.2393205213527
858,-509,-779.4513257018104
859,-19373.34817227297,-967.23480742454
860,-505,-968.61480742454
861,-123,-959.2792528514698
862,-1215.0168656716908,-900.7981760597772
863,-7839.297750741034,-979.1811535671876
864,-1,-978.6211535671875
865,-130,-979.8711535671875
866,-53,-980.8111535671877
867,-199,-979.0811535671876
868,-344,-963.0536974493205
869,-507,-965.1436974493205
870,-278,-949.0283687390515
871,-343,-945.8256139798534
872,-16.539545617496184,-945.0910094360282
873,-548,-947.5010094360282
874,-1,-947.1910094360284
875,-322,-948.1410094360284
876,-253,-927.4699702724555
877,-345,-921.6235724191961
878,-399,-920.9035724191962
879,-335,-923.3335724191961
880,-293,-911.1111981442315
881,-162,-912.0711981442314
882,-208,-910.3811981442315
883,-290,-910.0911981442315
884,-240,-910.0311981442314
885,-213,-909.7911981442314
886,-60,-909.6911981442314
887,-74,-905.7011981442315
888,-301,-907.1411981442315
889,-439,-909.2411981442315
890,-431,-907.6511981442314
891,-590,-913.5011981442315
892,-14397.990751457872,-1053.5711056588102
